"ID","Achievement_Id","Type","Asset_Id","Quantity","Start_Event","Start_Asset","Fail_Event","Fail_Asset","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","Flags","Timer_Start_Event","Timer_Asset_Id","Timer_Time","Ui_Order"
"34","6","5","0","10","0","0","0","0","Reach level 10","10 레벨 달성","Atteindre le niveau 10","Erreicht Stufe 10","升到10级。","達到10級","Alcanza el nivel 10","Alcanza el nivel 10","Достигните 10-го уровня","","","","","","","","16712190","2","0","0","0","1"
"35","7","5","0","20","0","0","0","0","Reach level 20","20 레벨 달성","Atteindre le niveau 20","Erreicht Stufe 20","升到20级。","達到20級","Alcanza el nivel 20","Alcanza el nivel 20","Достигните 20-го уровня","","","","","","","","16712190","2","0","0","0","1"
"36","8","5","0","30","0","0","0","0","Reach level 30","30 레벨 달성","Atteindre le niveau 30","Erreicht Stufe 30","升到30级。","達到30級","Alcanza el nivel 30","Alcanza el nivel 30","Достигните 30-го уровня","","","","","","","","16712190","2","0","0","0","1"
"37","9","5","0","40","0","0","0","0","Reach level 40","40 레벨 달성","Atteindre le niveau 40","Erreicht Stufe 40","升到40级。","達到40級","Alcanza el nivel 40","Alcanza el nivel 40","Достигните 40-го уровня","","","","","","","","16712190","2","0","0","0","1"
"38","10","5","0","50","0","0","0","0","Reach level 50","50 레벨 달성","Atteindre le niveau 50","Erreicht Stufe 50","升到50级。","達到50級","Alcanza el nivel 50","Alcanza el nivel 50","Достигните 50-го уровня","","","","","","","","16712190","2","0","0","0","1"
"39","11","5","0","60","0","0","0","0","Reach level 60","60 레벨 달성","Atteindre le niveau 60","Erreicht Stufe 60","升到60级。","達到60級","Alcanza el nivel 60","Alcanza el nivel 60","Достигните 60-го уровня","","","","","","","","16712190","2","0","0","0","1"
"40","12","5","0","70","0","0","0","0","Reach level 70","70 레벨 달성","Atteindre le niveau 70","Erreicht Stufe 70","升到70级。","達到70級","Alcanza el nivel 70","Alcanza el nivel 70","Достигните 70-го уровня","","","","","","","","16712190","2","0","0","0","1"
"41","13","5","0","80","0","0","0","0","Reach level 80","80 레벨 달성","Atteindre le niveau 80","Erreicht Stufe 80","升到80级。","達到80級","Alcanza el nivel 80","Alcanza el nivel 80","Достигните 80-го уровня","","","","","","","","16712190","2","0","0","0","1"
"72","31","10","0","5","2","0","2","0","Complete a daily quest every day for five consecutive days","연속 5일 동안 일일 퀘스트 수행","Achever une quête journalière chaque jour pendant cinq jours consécutifs","Schließt fünf Tage hintereinander jeden Tag eine tägliche Quest ab","连续五天每天完成一个日常任务","連續五天，每天完成一個每日任務。","Completa una misión diaria durante cinco días consecutivos","Completa una misión diaria durante cinco días consecutivos","Выполняйте ежедневное задание каждый день в течение 5 дней.","","","","","","","","16712190","1","0","0","0","1"
"73","32","9","0","2000","0","0","0","0","Complete 2000 quests","퀘스트 2,000개 완료","Achever 2 000 quêtes","Schließt 2.000 Quests ab","完成2000个任务","完成2000個任務","Completa 2000 misiones","Completa 2000 misiones","Выполните 2000 заданий","","","","","","","","16712190","1","0","0","0","1"
"74","33","11","3537","130","0","0","0","0","Complete 130 quests in Boren Tundra","북풍의 땅 퀘스트 130개 완료","Achever 130 quêtes dans la toundra Boréenne","Schließt 130 Quests der boreanischen Tundra ab","在北风苔原完成130个任务","完成130個北風凍原任務","Completa 130 misiones en la Tundra Boreal","Completa 130 misiones en la Tundra Boreal","Выполните 130 заданий в Борейской тундре","","","","","","","","16712190","3","0","0","0","1"
