"ID","CategoryID","SkillCostsID","DisplayName_Lang_enUS","DisplayName_Lang_enGB","DisplayName_Lang_koKR","DisplayName_Lang_frFR","DisplayName_Lang_deDE","DisplayName_Lang_enCN","DisplayName_Lang_zhCN","DisplayName_Lang_enTW","DisplayName_Lang_zhTW","DisplayName_Lang_esES","DisplayName_Lang_esMX","DisplayName_Lang_ruRU","DisplayName_Lang_ptPT","DisplayName_Lang_ptBR","DisplayName_Lang_itIT","DisplayName_Lang_Unk","DisplayName_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","SpellIconID","AlternateVerb_Lang_enUS","AlternateVerb_Lang_enGB","AlternateVerb_Lang_koKR","AlternateVerb_Lang_frFR","AlternateVerb_Lang_deDE","AlternateVerb_Lang_enCN","AlternateVerb_Lang_zhCN","AlternateVerb_Lang_enTW","AlternateVerb_Lang_zhTW","AlternateVerb_Lang_esES","AlternateVerb_Lang_esMX","AlternateVerb_Lang_ruRU","AlternateVerb_Lang_ptPT","AlternateVerb_Lang_ptBR","AlternateVerb_Lang_itIT","AlternateVerb_Lang_Unk","AlternateVerb_Lang_Mask","CanLink"
"6","7","0","Frost","냉기","Givre","Frost","冰霜","","Escarcha","Escarcha","Лед","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","188","","","","","","","","","","","","","","","","","16712172","0"
"8","7","0","Fire","화염","Feu","Feuer","火焰","","Fuego","Fuego","Огонь","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","183","","","","","","","","","","","","","","","","","16712172","0"
"26","7","0","Arms","무기","Armes","Waffen","武器","","Armas","Armas","Оружие","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","514","","","","","","","","","","","","","","","","","16712172","0"
"38","7","0","Combat","전투","Combat","Kampf","战斗","","Combate","Combate","Бой","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","243","","","","","","","","","","","","","","","","","16712172","0"
"39","7","0","Subtlety","잠행","Finesse","Täuschung","敏锐","","Sutileza","Sutileza","Скрытность","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","250","","","","","","","","","","","","","","","","","16712172","0"
"43","6","0","Swords","도검류","Epées","Schwerter","单手剑","","Espadas","Espadas","Мечи","","","","","","","","16712191","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"44","6","0","Axes","도끼류","Haches","Äxte","单手斧","","Hachas","Hachas","Топоры","","","","","","","","16712191","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"45","6","0","Bows","활류","Arcs","Bögen","弓","","Arcos","Arcos","Луки","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"46","6","0","Guns","총기류","Armes à feu","Schusswaffen","枪械","","Armas de fuego","Armas de fuego","Огнестрельное оружие","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"50","7","0","Beast Mastery","야수","Maîtrise des bêtes","Tierherrschaft","野兽控制","","Dominio de bestias","Dominio de bestias","Повелитель зверей","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","255","","","","","","","","","","","","","","","","","16712172","0"
